Height,Intensity,Time
7.28388507550433e-5,500,48
9.16307709658041e-5,500,52
0.0001134408131946673,500,56
0.000137936580489822,500,60
0.00016462901009819643,500,64
0.00019301601874659367,500,68
0.00022269735433616506,500,72
0.00025338620325049166,500,76
0.0002848507074889257,500,80
0.0003168858783667285,500,84
0.0003493208109792779,500,88
0.00038202409037510883,500,92
0.0004148999607972637,500,96
0.0004478807632607841,500,100
0.0004809195086213267,500,104
0.0005139838826693027,500,108
0.0005470517917185393,500,112
0.0005801081840634645,500,116
0.0006131428299837353,500,120
0.0006461487896974993,500,124
0.0006791213633807779,500,128
0.000712057374499415,500,132
0.0007449546818184298,500,136
0.0007778118475780874,500,140
0.0008106279120250774,500,144
0.000843402240258449,500,148
0.0008761344182015157,500,152
0.0009088241819324768,500,156
0.0009414713696644997,500,160
0.0009740758891052408,500,164
0.0010066376953450982,500,168
3.7664388440961903e-6,1000,4
4.731887310153817e-6,1000,8
5.9498452206291705e-6,1000,12
7.489231559593499e-6,1000,16
9.439403742158247e-6,1000,20
1.1917108153238958e-5,1000,24
1.5076230024969098e-5,1000,28
1.912161255530532e-5,1000,32
2.4328717028427445e-5,1000,36
3.1071278860879634e-5,1000,40
3.985845920813635e-5,1000,44
5.1378277621949106e-5,1000,48
6.652734027179218e-5,1000,52
8.636480986499355e-5,1000,56
0.00011187282724719384,1000,60
0.00014347118082867262,1000,64
0.0001805998531152279,1000,68
0.00022190265118253617,1000,72
0.00026594418948410847,1000,76
0.00031175721573063823,1000,80
0.0003587483358435072,1000,84
0.0004064701374845788,1000,88
0.00045460497845747623,1000,92
0.0005029531269232734,1000,96
0.000551396302756862,1000,100
0.0005998661835500003,1000,104
0.000648323723603925,1000,108
0.0006967467218554417,1000,112
0.0007451225932839835,1000,116
0.0007934442236794807,1000,120
0.0008417076070053542,1000,124
0.0008899105023896019,1000,128
0.0009380516715186218,1000,132
0.000986130445706157,1000,136
0.0010341464943310517,1000,140
0.001082099788993288,1000,144
0.0011299904106043472,1000,148
0.001177818441075415,1000,152
0.0012255839622106277,1000,156
0.0012732870557072037,1000,160
0.001320927803155587,1000,164
0.0013685062860395853,1000,168
